account_code,parent_code,level,depth,l1_code,l2_code,l3_code,l4_code,l5_code,name_zh_tw,name_en,l1_category,dealer_category,tax_treatment,moea_code,moea_name_zh,is_postable,normal_balance,default_enabled,is_locked,required_dimensions,ai_tags,benchmark_enabled,template_packs,description,display_order
1103105,11031,L5_DETAIL,5,1,11,1103,11031,1103105,零用金－零件部,,ASSET,PARTS,NORMAL,1103,零用金,TRUE,D,FALSE,FALSE,"[""DEPT""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""MIXED""]",,27
1110,11,L3_MOEA,3,1,11,1110,,,透過損益按公允價值衡量之金融資產－流動,,ASSET,GENERAL,NORMAL,1110,透過損益按公允價值衡量之金融資產－流動,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1110，IFRS 9,28
11101,1110,L4_PARENT,4,1,11,1110,11101,,短期金融商品投資,,ASSET,GENERAL,NORMAL,1110,透過損益按公允價值衡量之金融資產－流動,FALSE,D,FALSE,FALSE,"[""INSTRUMENT""]",{},FALSE,"[""MIXED""]",母科：依商品分,29
1110101,11101,L5_DETAIL,5,1,11,1110,11101,1110101,短期金融商品投資－基金,,ASSET,GENERAL,NORMAL,1110,透過損益按公允價值衡量之金融資產－流動,TRUE,D,FALSE,FALSE,"[""INSTRUMENT""]",{},FALSE,"[""MIXED""]",,30
1110102,11101,L5_DETAIL,5,1,11,1110,11101,1110102,短期金融商品投資－股票,,ASSET,GENERAL,NORMAL,1110,透過損益按公允價值衡量之金融資產－流動,TRUE,D,FALSE,FALSE,"[""INSTRUMENT""]",{},FALSE,"[""MIXED""]",,31
1170,11,L3_MOEA,3,1,11,1170,,,應收票據,,ASSET,GENERAL,NORMAL,1170,應收票據,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1170,32
11701,1170,L4_PARENT,4,1,11,1170,11701,,應收票據－客票,,ASSET,GENERAL,NORMAL,1170,應收票據,FALSE,D,TRUE,FALSE,"[""CUSTOMER""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",客戶開立票據,33
1170101,11701,L5_DETAIL,5,1,11,1170,11701,1170101,應收票據－新車購車票,,ASSET,VEHICLE_SALES,NORMAL,1170,應收票據,TRUE,D,TRUE,FALSE,"[""CUSTOMER"", ""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,34
1170102,11701,L5_DETAIL,5,1,11,1170,11701,1170102,應收票據－維修票,,ASSET,SERVICE,NORMAL,1170,應收票據,TRUE,D,TRUE,FALSE,"[""CUSTOMER"", ""RO""]","{""profit_attribution"": ""service_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,35
1170103,11701,L5_DETAIL,5,1,11,1170,11701,1170103,應收票據－零件批發票,,ASSET,PARTS,NORMAL,1170,應收票據,TRUE,D,TRUE,FALSE,"[""CUSTOMER""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""NEW_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,36
11705,1170,L4_PARENT,4,1,11,1170,11705,,應收票據－背書轉讓備抵,,ASSET,GENERAL,NORMAL,1170,應收票據,FALSE,C,FALSE,FALSE,[],{},FALSE,"[""MIXED""]",減項科目,37
1170501,11705,L5_DETAIL,5,1,11,1170,11705,1170501,應收票據－背書轉讓,,ASSET,GENERAL,NORMAL,1170,應收票據,TRUE,C,FALSE,FALSE,[],{},FALSE,"[""MIXED""]",,38
1180,11,L3_MOEA,3,1,11,1180,,,應收帳款,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1180,39
11801,1180,L4_PARENT,4,1,11,1180,11801,,應收帳款－一般客戶,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,D,TRUE,FALSE,"[""CUSTOMER""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：依業務性質分,40
1180101,11801,L5_DETAIL,5,1,11,1180,11801,1180101,應收帳款－新車尾款,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""CUSTOMER"", ""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",客戶交車後尾款,41
1180102,11801,L5_DETAIL,5,1,11,1180,11801,1180102,應收帳款－中古車尾款,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""CUSTOMER"", ""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,42
1180103,11801,L5_DETAIL,5,1,11,1180,11801,1180103,應收帳款－維修保養,,ASSET,SERVICE,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""CUSTOMER"", ""RO""]","{""profit_attribution"": ""service_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,43
1180104,11801,L5_DETAIL,5,1,11,1180,11801,1180104,應收帳款－零件銷售,,ASSET,PARTS,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""CUSTOMER""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""NEW_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,44
1180105,11801,L5_DETAIL,5,1,11,1180,11801,1180105,應收帳款－精品配件,,ASSET,PARTS,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""CUSTOMER""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""NEW_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,45
11802,1180,L4_PARENT,4,1,11,1180,11802,,應收帳款－關係企業,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,D,FALSE,FALSE,"[""AFFILIATE""]",{},FALSE,"[""MIXED""]",母科：依關係企業分,46
1180201,11802,L5_DETAIL,5,1,11,1180,11802,1180201,應收帳款－關係企業,,ASSET,GENERAL,NORMAL,1180,應收帳款,TRUE,D,FALSE,FALSE,"[""AFFILIATE""]",{},FALSE,"[""MIXED""]",,47
11803,1180,L4_PARENT,4,1,11,1180,11803,,應收帳款－原廠/總代理,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,D,TRUE,FALSE,"[""DEALER""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：保固理賠/促銷補貼,48
1180301,11803,L5_DETAIL,5,1,11,1180,11803,1180301,應收帳款－原廠保固理賠,,ASSET,SERVICE,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""DEALER"", ""RO""]","{""profit_attribution"": ""service_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",保固維修向原廠請款,49
1180302,11803,L5_DETAIL,5,1,11,1180,11803,1180302,應收帳款－總代理促銷補貼,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""DEALER"", ""CAMPAIGN""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",達標獎勵金,50
1180303,11803,L5_DETAIL,5,1,11,1180,11803,1180303,應收帳款－原廠回收奬勵,,ASSET,VEHICLE_INV,NORMAL,1180,應收帳款,TRUE,D,FALSE,FALSE,"[""DEALER""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""MIXED""]",,51
11804,1180,L4_PARENT,4,1,11,1180,11804,,應收帳款－保險公司,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,D,TRUE,FALSE,"[""INSURER""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",理賠維修向保險公司請款,52
1180401,11804,L5_DETAIL,5,1,11,1180,11804,1180401,應收帳款－保險公司理賠,,ASSET,SERVICE,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""INSURER"", ""CASE""]","{""profit_attribution"": ""service_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,53
1180402,11804,L5_DETAIL,5,1,11,1180,11804,1180402,應收帳款－保險公司佣金,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,TRUE,D,TRUE,FALSE,"[""INSURER""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",代售保險佣金,54
11805,1180,L4_PARENT,4,1,11,1180,11805,,應收帳款－分期款,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,FALSE,D,FALSE,FALSE,"[""CUSTOMER"", ""CONTRACT""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""MIXED""]",母科：自辦/代辦分期,55
1180501,11805,L5_DETAIL,5,1,11,1180,11805,1180501,應收分期款－自辦分期,,ASSET,VEHICLE_SALES,NORMAL,1180,應收帳款,TRUE,D,FALSE,FALSE,"[""CUSTOMER"", ""CONTRACT""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""MIXED""]",公司自辦分期,56
11809,1180,L4_PARENT,4,1,11,1180,11809,,備抵呆帳－應收帳款,,ASSET,GENERAL,NORMAL,1180,應收帳款,FALSE,C,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",減項科目,57
1180901,11809,L5_DETAIL,5,1,11,1180,11809,1180901,備抵呆帳－應收帳款,,ASSET,GENERAL,NORMAL,1180,應收帳款,TRUE,C,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,58
1190,11,L3_MOEA,3,1,11,1190,,,其他應收款,,ASSET,GENERAL,NORMAL,1190,其他應收款,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1190,59
11901,1190,L4_PARENT,4,1,11,1190,11901,,代收款－客戶,,ASSET,GENERAL,NORMAL,1190,其他應收款,FALSE,D,TRUE,FALSE,"[""VEHICLE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：代收代付重要！,60
1190101,11901,L5_DETAIL,5,1,11,1190,11901,1190101,代收款－監理規費,,ASSET,VEHICLE_SALES,WITHHOLDING,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",代客向監理所繳,61
1190102,11901,L5_DETAIL,5,1,11,1190,11901,1190102,代收款－牌照稅,,ASSET,VEHICLE_SALES,WITHHOLDING,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,62
1190103,11901,L5_DETAIL,5,1,11,1190,11901,1190103,代收款－燃料稅,,ASSET,VEHICLE_SALES,WITHHOLDING,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,63
1190104,11901,L5_DETAIL,5,1,11,1190,11901,1190104,代收款－強制險保費,,ASSET,VEHICLE_SALES,EXEMPT,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,64
1190105,11901,L5_DETAIL,5,1,11,1190,11901,1190105,代收款－任意險保費,,ASSET,VEHICLE_SALES,EXEMPT,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,65
1190106,11901,L5_DETAIL,5,1,11,1190,11901,1190106,代墊款－配件加裝,,ASSET,VEHICLE_SALES,NORMAL,1190,其他應收款,TRUE,D,FALSE,FALSE,"[""VEHICLE""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""MIXED""]",代墊客戶選配,66
11902,1190,L4_PARENT,4,1,11,1190,11902,,員工應收款,,ASSET,GENERAL,NORMAL,1190,其他應收款,FALSE,D,TRUE,FALSE,"[""EMPLOYEE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",員工借支/差旅墊款,67
1190201,11902,L5_DETAIL,5,1,11,1190,11902,1190201,員工借支,,ASSET,GENERAL,NORMAL,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""EMPLOYEE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,68
1190202,11902,L5_DETAIL,5,1,11,1190,11902,1190202,員工差旅墊款,,ASSET,GENERAL,NORMAL,1190,其他應收款,TRUE,D,TRUE,FALSE,"[""EMPLOYEE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,69
11903,1190,L4_PARENT,4,1,11,1190,11903,,暫付款,,ASSET,GENERAL,NORMAL,1190,其他應收款,FALSE,D,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",性質不明先掛,70
1190301,11903,L5_DETAIL,5,1,11,1190,11903,1190301,暫付款,,ASSET,GENERAL,NORMAL,1190,其他應收款,TRUE,D,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,71
11904,1190,L4_PARENT,4,1,11,1190,11904,,退稅款,,ASSET,GENERAL,NORMAL,1190,其他應收款,FALSE,D,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",可申退之稅款,72
1190401,11904,L5_DETAIL,5,1,11,1190,11904,1190401,留抵稅額,,ASSET,GENERAL,VAT_INPUT,1190,其他應收款,TRUE,D,TRUE,FALSE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",進項稅額大於銷項時,73
1210,11,L3_MOEA,3,1,12,1210,,,存貨,,ASSET,GENERAL,NORMAL,1210,存貨,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1210,74
12101,1210,L4_PARENT,4,1,12,1210,12101,,存貨－車輛,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,FALSE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",母科：依車輛狀態分,75
1210101,12101,L5_DETAIL,5,1,12,1210,12101,1210101,存貨－新車（國產）,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,76
1210102,12101,L5_DETAIL,5,1,12,1210,12101,1210102,存貨－新車（進口）,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,77
1210103,12101,L5_DETAIL,5,1,12,1210,12101,1210103,存貨－中古車,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",自有中古車待售,78
1210104,12101,L5_DETAIL,5,1,12,1210,12101,1210104,存貨－試乘車,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",試乘車（仍計折舊）,79
1210105,12101,L5_DETAIL,5,1,12,1210,12101,1210105,存貨－展示車,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""VEHICLE"", ""VIN""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,80
1210106,12101,L5_DETAIL,5,1,12,1210,12101,1210106,存貨－寄售車（備忘）,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,FALSE,FALSE,"[""VEHICLE"", ""OWNER""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""MIXED""]",中古車寄售（備忘錄記載）,81
1210107,12101,L5_DETAIL,5,1,12,1210,12101,1210107,存貨－在途車,,ASSET,VEHICLE_INV,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""PO""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,82
12102,1210,L4_PARENT,4,1,12,1210,12102,,存貨－零件配件,,ASSET,PARTS,NORMAL,1210,存貨,FALSE,D,TRUE,FALSE,"[""PART_SKU"", ""WAREHOUSE""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""NEW_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：零件主分類,83
1210201,12102,L5_DETAIL,5,1,12,1210,12102,1210201,存貨－原廠零件,,ASSET,PARTS,NORMAL,1210,存貨,TRUE,D,TRUE,FALSE,"[""PART_SKU"", ""WAREHOUSE""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""NEW_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,84
